name,category,is_chronic,base_price,default_cycle_days,image_url
Concor 5mg,مزمن - ضغط,true,85,30,
Amlopres 5mg,مزمن - ضغط,true,45,30,
Diovan 80mg,مزمن - ضغط,true,150,30,
Norvasc 5mg,مزمن - ضغط,true,60,30,
Capoten 25mg,مزمن - ضغط,true,35,30,
Glucophage 500mg,مزمن - سكر,true,40,30,
Glucomin 500mg,مزمن - سكر,true,35,30,
Galvus Met 50/1000mg,مزمن - سكر,true,220,30,
Amaryl 2mg,مزمن - سكر,true,90,30,
Diamicron MR 60mg,مزمن - سكر,true,110,30,
Lipitor 20mg,مزمن - كوليسترول,true,130,30,
Crestor 10mg,مزمن - كوليسترول,true,160,30,
Eltroxin 100mcg,مزمن - غدة درقية,true,25,30,
Panadol Extra,مسكنات,false,20,10,
Bi Alcofan,مسكنات,false,30,10,
Cataflam 50mg,مسكنات,false,25,10,
Brufen 400mg,مسكنات,false,22,10,
Amoclan 1g,مضاد حيوي,false,65,7,
Augmentin 1g,مضاد حيوي,false,90,7,
Zinnat 500mg,مضاد حيوي,false,110,7,
Rani 150mg,جهاز هضمي,false,15,15,
Motilium 10mg,جهاز هضمي,false,30,15,
Nexium 40mg,جهاز هضمي,false,95,20,
Cal-D-Vita,فيتامينات,false,65,30,
Bio Vit-C 1000mg,فيتامينات,false,55,30,
Feroglobin,فيتامينات,false,120,30,
Omega Life 3,فيتامينات,false,140,30,
Coldrex,نزلات برد,false,25,10,
Comtrex,نزلات برد,false,28,10,
Zyrtec 10mg,حساسية,false,45,20,
