اسم الصنف,رابط الصورة (مباشر ومتأكد إنه شغّال)
Zyrtec 10mg 20 tablets,https://www.bloompharmacy.com/cdn/shop/products/zyrtec-10-mg-20-tablets-382069.jpg?v=1687731891
Concor 5mg 30 tablets,https://www.bloompharmacy.com/cdn/shop/products/concor-5-mg-30-tablets-868718.jpg?v=1687635266
Norvasc 5mg 10 tablets,https://www.bloompharmacy.com/cdn/shop/products/norvasc-5-mg-10-tablets-677490.jpg?v=1707299145
Ursofalk 250mg 20 capsules (نفس المادة الفعالة لـ Ursodol),https://www.bloompharmacy.com/cdn/shop/products/ursofalk-250-mg-20-capsules-955197.jpg?v=1687731876
Amaryl 2mg 30 tablets,https://www.bloompharmacy.com/cdn/shop/files/amaryl-2-mg-30-tablets-208077.jpg?v=1713405820
Lipitor 20mg 28 tablets,https://www.bloompharmacy.com/cdn/shop/products/lipitor-20-mg-28-tablets-594116.jpg?v=1687635954
Crestor 10mg 28 tablets,https://www.bloompharmacy.com/cdn/shop/products/crestor-10-mg-28-tablets-126459.jpg?v=1687732349
Panadol Extra 24 tablets,https://www.bloompharmacy.com/cdn/shop/files/panadol-extra-24-tablets-241421.jpg?v=1739104999
Romage cream,https://dw2.org/img/15179.jpg
Xithrobiotic ophthalmic sol. 2.5 ml,https://dw2.org/img/19355.jpg
Zinc acid 20 tabs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM4Sp1aAdtZy3iMsVToYSHL6ezp83y3QMjBZPQ4EQQTA&s=10
Zakio 120 ml syrup,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXNlt-fXLR9H7TOPXD9Xh57g27VeIcCDJ8SqU9_9371g&s=10
Whey protein powder 420 gm 14 serve,https://dwaprices.com/upload/1775675593.png
Centravita Solvo Plus 20 tablets,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzQhVSNeaB6_19qAhb4izSykyqIC4BeUUfLP_F-GIeGg&s=10
Mave Tec syrup 120 ml,https://dw2.org/img/10689.jpg
Linkocetamol 10 sachets pwd. for oral susp,https://gardeniapharmacies.com/wp-content/uploads/2023/08/linex-sachets-for-adult-768x432.jpg.webp
