اسم الدواء,لينك الصورة
sinopril 5mg 30 tab,https://cdn.dawaagate.com/images/medicines/sinopril-5mg-30-tab-244-91e244.webp
protectopril plus 4/1.25 mg 30 tabs,https://cdn.dawaagate.com/images/medicines/protectopril-plus-4125-mg-30-tabs-392-44fb27.webp
protectopril 8 mg 30 tabs,https://cdn.dawaagate.com/images/medicines/protectopril-8-mg-30-tabs-393-04cdac.webp
timbestatin 10/20 mg 14 f.c.tab,https://cdn.dawaagate.com/images/medicines/timbestatin-1020-mg-14-fctab-134-f4d5ef.webp
vanvilda plus 50/850 mg 30 tabs,https://cdn.dawaagate.com/images/medicines/vanvilda-plus-50850-mg-30-tabs-82.jpg
vanvilda plus 50/500 mg 30 tabs,https://cdn.dawaagate.com/images/medicines/vanvilda-plus-50500-mg-30-tabs-83-6a0595.webp
vanvilda plus 50/1000 mg 30 tabs,https://cdn.dawaagate.com/images/medicines/vanvilda-plus-501000-mg-30-tabs-84-9e4fba.webp
vanvilda 50 mg 30 tabs,https://cdn.dawaagate.com/images/medicines/vanvilda-50-mg-30-tabs-85-d4068c.webp
toujeo solostar 300 i.u./ml 1.5 ml 5 pens,https://cdn.dawaagate.com/images/medicines/toujeo-solostar-300-iuml-15-ml-5-pens-120-432b79.webp
zemylaise 200 ceip unit/ml syrup 120 ml,https://cdn.dawaagate.com/images/medicines/zemylaise-200-ceip-unitml-syrup-120-ml-8-b8bbdb.webp
trypsoxir 10 chew tabs,https://cdn.dawaagate.com/images/medicines/trypsoxir-10-chew-tabs-114.png
tiapair 20 tabs,https://cdn.dawaagate.com/images/medicines/tiapair-20-tabs-137-5f6258.webp
tetracongyra eye drops 10 ml,https://cdn.dawaagate.com/images/medicines/tetracongyra-eye-drops-10-ml-140-4120ac.webp
targozym 20 tabs,https://cdn.dawaagate.com/images/medicines/targozym-20-tabs-147-19e1e4.webp
stopadol night 30 f.c.tabs,https://cdn.dawaagate.com/images/medicines/stopadol-night-30-fctabs-192-506f64.webp
stopadol night 20 f.c.tabs,https://cdn.dawaagate.com/images/medicines/stopadol-night-20-fctabs-193-f5ace1.webp
stopadol forte 1000 mg 10 eff. sachets,https://cdn.dawaagate.com/images/medicines/stopadol-forte-1000-mg-10-eff-sachets-194-13e0e2.webp
stopadol 650 mg 30 ext. rel. tabs,https://cdn.dawaagate.com/images/medicines/stopadol-650-mg-30-ext-rel-tabs-196-d5a061.webp
roflex massage gel 50gm,https://cdn.dawaagate.com/images/medicines/roflex-massage-gel-50gm-346-b3fe6a.webp
rhumaquick 50 mg 20 disp. tabs,https://cdn.dawaagate.com/images/medicines/rhumaquick-50-mg-20-disp-tabs-357-102ad8.webp
zathrotrue 500 mg 6 f.c. tabs,https://cdn.dawaagate.com/images/medicines/zathrotrue-500-mg-6-fc-tabs-9-5c3e91.webp
wideprex 400 mg 5 caps,https://cdn.dawaagate.com/images/medicines/wideprex-400-mg-5-caps-21-326841.webp
wideprex 100mg/5ml susp. 60ml,https://cdn.dawaagate.com/images/medicines/wideprex-100mg5ml-susp-60ml-22-8b8025.webp
volitracin 500 mg 7 f.c. tabs,https://cdn.dawaagate.com/images/medicines/volitracin-500-mg-7-fc-tabs-39-3b3c27.webp
vancolon 1000mg i.v. vial,https://cdn.dawaagate.com/images/medicines/vancolon-1000mg-iv-vial-87-3fea7b.webp
vancobact 1 gm vial for i.v. inf,https://cdn.dawaagate.com/images/medicines/vancobact-1-gm-vial-for-iv-inf-88-a37a67.webp
tinifloxacin 20 tab,https://cdn.dawaagate.com/images/medicines/tinifloxacin-20-tab-133-97521b.webp
